City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
305,zhezkazgan,47.8043,67.7144,6.19,55,21,3.86,KZ,1681254455
306,cambridge,43.3601,-80.3127,19.57,48,100,8.63,CA,1681254421
307,zhuhai,22.2769,113.5678,23.25,94,20,1.54,CN,1681254456
308,tabuk,17.4189,121.4443,23.28,83,93,1.56,PH,1681254456
309,carlagan,14.975,122.0456,26.11,83,100,7.25,PH,1681254456
310,bara,10.3744,10.7288,28.38,21,96,0.59,NG,1681254456
311,ceska lipa,50.6855,14.5376,3.34,94,39,1.25,CZ,1681254456
312,raymondville,26.4815,-97.7831,25.06,55,62,7.02,US,1681254155
313,chuy,-33.6971,-53.4616,21.43,60,49,1.6,UY,1681254323
314,cabo san lucas,22.8909,-109.9124,33.12,49,71,6.26,MX,1681253956
315,lae,-6.7221,146.9847,29.23,65,86,2.44,PG,1681254456
316,mana,5.6592,-53.7767,25.65,85,96,3.26,GF,1681254457
317,grindavik,63.8424,-22.4338,2.26,93,75,4.63,IS,1681254457
318,vanavara,60.34,102.2797,-7.14,90,71,5.65,RU,1681254457
319,dhanwar,24.4167,85.9833,24.45,14,0,2.79,IN,1681254457
320,hartford,41.7668,-72.7662,22.01,21,0,3.6,US,1681254249
321,batticaloa,7.7102,81.6924,26.46,79,14,1.06,LK,1681254457
322,winnemucca,40.973,-117.7357,21.03,23,0,9.26,US,1681254282
323,mykhaylivka,47.2724,35.2224,11.31,90,100,4.87,UA,1681254457
324,marau,-28.4492,-52.2,21.5,61,95,1.55,BR,1681254457
325,priekule,56.4468,21.5897,10.62,76,100,3.18,LV,1681254457
326,mingyue,43.1069,128.9217,2.65,22,0,7.04,CN,1681254458
327,salym,60.0625,71.4789,-3.27,93,75,3.82,RU,1681254458
328,mae sai,20.4335,99.8762,23.19,37,5,1.18,TH,1681254458
329,vostochnyy,55.8167,37.8667,8.95,60,31,0.71,RU,1681254458
330,berlevag,70.8578,29.0864,1.0,64,100,7.2,NO,1681254219
331,nanortalik,60.1432,-45.2371,-0.78,92,97,3.16,GL,1681254458
332,fairbanks,64.8378,-147.7164,-9.39,76,100,0.0,US,1681254458
333,maine-soroa,13.2114,12.0241,29.32,16,83,5.32,NE,1681254458
334,along,28.1667,94.7667,16.49,81,19,0.99,IN,1681254458
335,beyneu,45.3167,55.2,14.81,30,99,6.77,KZ,1681254458
336,college,64.8569,-147.8028,-9.4,76,100,0.0,US,1681254304
337,namibe,-15.1961,12.1522,23.55,63,1,3.55,AO,1681254459
338,otradnoye,59.7775,30.8181,5.05,89,100,1.62,RU,1681254459
339,tromso,69.6496,18.957,0.21,74,0,1.54,NO,1681254299
340,port macquarie,-31.4333,152.9167,18.83,50,82,1.95,AU,1681254459
341,ingham,42.6,-84.3833,23.1,30,0,5.66,US,1681254045
342,kabinda,-6.1333,24.4833,20.05,92,100,0.55,CD,1681254459
343,kalmunai,7.4167,81.8167,25.83,82,21,1.26,LK,1681254459
344,aksu,41.1231,80.2644,11.11,43,72,2.47,CN,1681254459
345,fort nelson,58.8053,-122.7002,8.37,34,2,4.77,CA,1681254459
346,nchelenge,-9.3451,28.734,19.76,91,94,2.22,ZM,1681254425
347,honningsvag,70.9821,25.9704,1.86,69,100,5.14,NO,1681254460
348,chikola,43.1906,43.9209,7.89,93,64,0.76,RU,1681254460
349,pedasi,7.5333,-80.0333,28.73,67,29,7.03,PA,1681254460
350,bud,39.447,-86.1758,22.99,35,19,3.82,US,1681254460
